iter	Logloss
0	0.6528223374
1	0.5993481206
2	0.5537294874
3	0.5034439984
4	0.4591619155
5	0.4171216479
6	0.3937826718
7	0.3593384088
8	0.3397046557
9	0.3182028976
10	0.2954464183
11	0.2676651899
12	0.246903154
13	0.2315462299
14	0.2154878803
15	0.2005522485
16	0.1919585284
17	0.1844499027
18	0.1764807608
19	0.1619395237
20	0.1561567419
21	0.1486595603
22	0.1394836127
23	0.1311891444
24	0.1252725414
25	0.1167900235
26	0.1105562771
27	0.1055756662
28	0.1000801086
29	0.09286183376
30	0.08512545567
31	0.07913926068
32	0.07438840679
33	0.07195018694
34	0.06994591507
35	0.06655848634
36	0.06297514672
37	0.05895428377
38	0.05485692866
39	0.05221085268
40	0.04870123396
41	0.04614423116
42	0.04363383873
43	0.04156212152
44	0.04037820031
45	0.03877552631
46	0.03674207201
47	0.03495791566
48	0.03414295421
49	0.03339295107
50	0.03249469832
51	0.03181090635
52	0.03033854541
53	0.02881480946
54	0.02739347757
55	0.02619308958
56	0.02492814719
57	0.02388259102
58	0.02276220509
59	0.02193616231
60	0.02134560417
61	0.02032514086
62	0.01927742865
63	0.01843550626
64	0.01777853685
65	0.01696364459
66	0.01641987819
67	0.01591792948
68	0.01534201398
69	0.01507266082
70	0.01473867753
71	0.01417590497
72	0.01387754235
73	0.0136539693
74	0.01323358311
75	0.01294375494
76	0.01278547212
77	0.01239180284
78	0.01221098806
79	0.01189692909
80	0.01159564561
81	0.0111869812
82	0.01098725936
83	0.01069085832
84	0.01041692378
85	0.01027161
86	0.01002191282
87	0.009815154356
88	0.009697051142
89	0.009557440702
90	0.009415312374
91	0.009026403988
92	0.008815584931
93	0.008608253329
94	0.008496553758
95	0.008398286034
96	0.008227606381
97	0.007981890323
98	0.007707152647
99	0.007582518634
100	0.007434312035
101	0.007357316859
102	0.007285067614
103	0.007189217736
104	0.006968074686
105	0.006857924368
106	0.006639957428
107	0.006549421946
108	0.00650982436
109	0.006426786909
110	0.006364254858
111	0.006257457827
112	0.006159516877
113	0.006093455296
114	0.006025192784
115	0.005980948841
116	0.005899728513
117	0.005826696228
118	0.005688962749
119	0.005643508014
120	0.005575031393
121	0.005508598627
122	0.00546483526
123	0.005426344217
124	0.005326269187
125	0.005288133434
126	0.005179339764
127	0.005136507633
128	0.00506310276
129	0.004981202705
130	0.004925675486
131	0.004814882372
132	0.004782619196
133	0.004686885722
134	0.004643224735
135	0.004576761582
136	0.004509200302
137	0.0044045654
138	0.004345164112
139	0.004315359452
140	0.00426402092
141	0.004203241012
142	0.004178317855
143	0.004062896149
144	0.003988702157
145	0.003914164796
146	0.003888173664
147	0.003811318267
148	0.003764702993
149	0.003720195621
150	0.003674332535
151	0.003639520383
152	0.003618150599
153	0.0035906212
154	0.003571244315
155	0.003544251592
156	0.003483572193
157	0.003441297774
158	0.003408870043
159	0.003382085118
160	0.003337386309
161	0.003309152173
162	0.003287623443
163	0.003251163165
164	0.003215835375
165	0.003170065319
166	0.003150454222
167	0.003122759099
168	0.003097205536
169	0.003036488739
170	0.002988281904
171	0.002960766063
172	0.00291804683
173	0.002888850605
174	0.002877067117
175	0.00284660704
176	0.002828733828
177	0.002801511802
178	0.002768173639
179	0.002740845961
180	0.002728357035
181	0.002688092344
182	0.002669826676
183	0.002622596423
184	0.002601231781
185	0.002553980958
186	0.002539346966
187	0.002530153826
188	0.002493825613
189	0.002465077942
190	0.002452781387
191	0.002422985844
192	0.002397379221
193	0.002381428784
194	0.002360005005
195	0.002347429126
196	0.002314641195
197	0.002299539716
198	0.002285940039
199	0.002268248913
